timestamp,game,team_a,team_b,tier_a,tier_b,K,decay,floor,raw_a,raw_b,adj_a,adj_b,adj_gap,use_logistic,a,b,use_clip,clip_limit,p_model,odds_a,odds_b,fair_a,fair_b,ev_a_pct,ev_b_pct,p_decide,ev_a_dec,ev_b_dec,decision,decision_reason,min_edge_pct,prob_gap_pp,shrink_target
2025-08-10T02:42:49.660245,Dota2,Yangon Galacticos,Excel Esports,3.0,4.0,6.0,0.85,0.6,7.0,1.5,8.277541260210299,2.053937179444202,6.223604080766097,False,0.0,0.18,False,25.0,0.6380396757754364,-161.0,115.0,-176.0,176.0,3.433761103968247,-22.17853029171884,,,,,,,,
2025-08-10T02:50:30.976712,Dota2,Kalmychata,Runa Team,4.0,2.0,6.0,0.85,0.6,-12.5,3.5,-11.16016336473244,6.177998837897938,-17.33816220263038,False,0.0,0.18,False,25.0,0.1735842938463971,280.0,-455.0,476.0,-476.0,-34.03796833836908,0.804553168186728,,,,,,,,
2025-08-10T02:58:30.186397,CS2,pain,the-mongolz,2.0,1.0,6.0,0.85,0.6,7.0,14.0,2.5818526029305846,13.227844213807517,-10.64599161087693,False,0.0,0.18,False,25.0,0.2538698232696558,230.0,-357.0,294.0,-294.0,-16.22295832101357,-4.486977376535794,,,,,,,,
2025-08-10T03:01:33.117186,CS2,parivision,fnatic,3.0,2.0,6.0,0.85,0.6,7.0,-3.0,4.876976255416623,-4.2586577403091175,9.13563399572574,False,0.0,0.18,False,25.0,0.7095828929120541,-139.0,100.0,-244.0,244.0,22.00741827768413,-41.91657858241082,,,,,,,,
2025-08-10T03:04:14.909110,CS2,sparta,ruby,4.0,4.0,6.0,0.85,0.6,-5.0,-0.5,-6.5298548876530536,-2.79375745339048,-3.7360974342625735,False,0.0,0.18,False,25.0,0.4209446943921432,135.0,-192.0,138.0,-138.0,-1.0779968178463273,-11.935338938805115,,,,,,,,
2025-08-10T03:19:36.797322,Dota2,Nemiga Gaming,4Pirates,4.0,2.0,6.0,0.85,0.6,-9.5,-1.0,-11.937513548545695,-0.8689814845853876,-11.068532063960308,False,0.0,0.18,False,25.0,0.2438592241441499,170.0,-250.0,310.0,-310.0,-34.15800948107951,5.859708619818993,,,,,,,,
2025-08-10T03:25:21.585349,CS2,b8,mouz,2.0,1.0,6.0,0.85,0.6,9.5,20.0,3.804719162150355,19.899859020226,-16.09513985807564,False,0.0,0.18,False,25.0,0.1902228838168864,530.0,-1250.0,426.0,-426.0,19.840416804638465,-12.544071452223726,,,,,,,,
2025-08-10T03:52:40.688043,CS2,og,saw,3.0,2.0,6.0,0.85,0.6,-0.5,9.5,-0.3145086553264994,9.57900642108821,-9.893515076414708,False,0.0,0.18,False,25.0,0.2719530392915942,110.0,-154.0,268.0,-268.0,-42.88986174876521,20.08047274021758,,,,,,,,
2025-08-10T03:57:44.675688,CS2,cybershoke,bcgame,3.0,3.0,6.0,0.85,0.6,-2.0,-17.0,-4.347014009422266,-14.807199237245108,10.46018522782284,False,0.0,0.18,False,25.0,0.741693137292446,120.0,-172.0,-287.0,287.0,63.172490204338125,-59.15147287415425,,,,,,,,
2025-08-10T04:00:43.687933,CS2,eternal fire,favbet,5.0,4.0,6.0,0.85,0.6,-13.0,-12.0,-12.383485057796983,-12.768272348364093,0.3847872905671075,False,0.0,0.18,False,25.0,0.5074680544883793,110.0,-154.0,-103.0,103.0,6.56829144255966,-18.764211584446976,,,,,,,,
2025-08-10T05:37:50.349470,CS2,heroic,aurora,1.5,1.5,6.0,0.85,0.6,-5.0,6.0,-7.319275468439038,2.977386504449701,-10.29666197288874,False,0.0,0.18,False,25.0,0.2622279076282633,230.0,-357.0,281.0,-281.0,-13.464790482673116,-5.556905822441561,,,,,,,,
2025-08-10T05:39:41.247806,CS2,flamengo,shinden,4.0,5.0,6.0,0.85,0.6,-1.5,-5.0,-0.6592634574285956,-4.449235533042873,3.789972075614277,False,0.0,0.18,False,25.0,0.5802902922586558,-139.0,100.0,-138.0,138.0,-0.223467733943361,-16.05805845173116,,,,,,,,
2025-08-10T05:42:21.943559,CS2,nexus,partizan,4.0,4.0,6.0,0.85,0.6,-2.0,10.5,-5.1136280448207065,8.483868796712835,-13.59749684153354,False,0.0,0.18,False,25.0,0.1870375031793472,110.0,-154.0,435.0,-435.0,-60.72212433233708,34.0860222028869,,,,,,,,
2025-08-10T16:33:51.059467,CS2,krÜ,keyd stars,4.0,5.0,6.0,0.85,0.6,-13.5,-12.5,-15.527849409042071,-12.567692784527647,-2.960156624514425,False,0.0,0.18,False,25.0,0.4384692428491552,-122.0,-114.0,128.0,-128.0,-20.212973842202896,5.4101596756849,,,,,,,,
2025-08-10T16:36:50.234578,CS2,metizport,sparta,3.0,4.0,6.0,0.85,0.6,-18.5,-5.5,-17.54207195399856,-7.596845164299293,-9.945226789699266,False,0.0,0.18,False,25.0,0.2707013011172989,-238.0,170.0,269.0,-269.0,-61.5558656396441,96.91064869832933,,,,,,,,
2025-08-10T16:42:12.590524,CS2,selva,game hunters,5.0,5.0,6.0,0.85,0.6,-21.5,-18.0,-19.96012291452659,-15.606238059816045,-4.353884854710545,False,0.0,0.18,False,25.0,0.4066524232133072,-192.0,135.0,146.0,-146.0,-38.15494396964287,39.436680544872814,,,,,,,,
2025-08-10T17:03:48.888005,Dota2,Wildcard,Aim Possible,2.0,4.0,6.0,0.85,0.6,-12.5,-31.0,-11.255085313935169,-36.029383583073546,24.774298269138377,False,0.0,0.18,False,25.0,0.9028839035510088,-1000.0,480.0,-930.0,930.0,-0.6827706093890384,-43.67266405958503,,,,,,,,
2025-08-11T01:32:23.764768,Dota2,Wildcard,Aim Possible,2.0,4.0,6.0,0.85,0.6,-12.5,-31.0,-11.255085313935169,-36.029383583073546,24.774298269138377,False,0.0,0.18,False,25.0,0.9028839035510088,-1000.0,480.0,-930.0,930.0,-0.6827706093890384,-43.67266405958503,,,,,,,,
